index,x1_b,x2_b,x3_b,x4_b,x5_b,x6_b,x7_b,x8_b,x9_b,x10_b,_cons_b,nobs,ncoef,F,r2adj
460,,,-0.0030180388,0.0037330731,,,0.002149337,-0.0019250029,-0.0020566797,,0.5020355,100000,6,0.70927787,-1.453646319404811e-5
724,,,-0.0030409058,,0.0034628802,,0.0021526143,-0.0019282084,,0.0024575146,0.49992737,100000,6,0.70927787,-1.453646319404811e-5
440,,,,0.003699534,0.0034323048,0.0013365762,,-0.0019123366,-0.0020561244,,0.49923575,100000,6,0.7080858,-1.4596070819328233e-5
477,0.0028342523,,-0.0030479454,0.0036992354,0.0034486337,,0.0021616751,-0.0019329212,-0.0020653107,,0.49892643,100000,8,0.79101926,-1.4629009051692066e-5
637,0.002834369,,-0.0030551383,0.003682956,0.003428715,0.001393607,0.0021603862,,,0.0024524226,0.4950291,100000,8,0.79101926,-1.4629009051692066e-5
258,,0.0010820859,,,,,,,-0.002055233,,0.50196993,100000,3,0.2682143,-1.463607469665007e-5
717,0.0028320418,,-0.0030366895,0.003712639,,,0.0021473125,-0.0019235151,,0.0024705643,0.49837258,100000,7,0.75596696,-1.4642343881376974e-5
549,0.002858069,,-0.0030416911,,,0.0014025595,,,,0.0024832105,0.4996258,100000,5,0.6332837,-1.4669012740720078e-5
515,0.0028309936,0.0010791448,,,,,,,,0.0024791418,0.49828547,100000,4,0.5106005,-1.4682346770600319e-5
218,,0.0010903274,,0.0037094243,0.003435526,,0.0021738098,-0.0019326963,,,0.49724528,100000,6,0.7057016,-1.4715286069666433e-5
309,0.0028599566,,-0.0030528612,,0.0034606792,0.0013998024,,,-0.0020590494,,0.50017416,100000,6,0.7057016,-1.4715286069666433e-5
812,,,-0.0030283737,0.0037147785,,0.0013706655,,,-0.0020744542,0.0024933426,0.5002428,100000,6,0.7057016,-1.4715286069666433e-5
275,0.002833358,0.0010559378,,,0.0034391568,,,,-0.002063236,,0.49884918,100000,5,0.6303035,-1.4788226798900794e-5
603,0.0028074211,0.0010880657,,0.003690395,0.003407119,,0.002172953,,,0.0024485227,0.4936739,100000,7,0.75298667,-1.4821168545342545e-5
389,0.0028581175,,-0.003034223,,,,,-0.0019175241,-0.002057755,,0.50355005,100000,5,0.6288134,-1.4847833827991153e-5
292,,,-0.0030223846,,,0.0013776389,,,-0.0020502247,,0.5033278,100000,4,0.5046401,-1.4861166069524145e-5
916,,,-0.0030437228,,0.0034535092,,,-0.001924627,-0.002063476,0.002470993,0.5020344,100000,6,0.7009331,-1.4953716570342834e-5
252,,,-0.0030413582,0.0037018298,0.0034573006,0.0013464829,0.0021613047,-0.0019212454,,,0.498628,100000,7,0.7500064,-1.4999993209308116e-5
909,0.0028404787,,-0.0030396273,0.0037108033,,,,-0.0019196441,-0.0020821486,0.0024842443,0.50047815,100000,7,0.7500064,-1.4999993209308116e-5
50,,0.0010582911,,,0.0034475434,0.0013669622,,,,,0.49855033,100000,4,0.49867967,-1.5039985368447972e-5
832,,,,,,,0.0021477973,,-0.0020737585,0.0024939652,0.50019807,100000,4,0.49867967,-1.5039985368447972e-5
829,0.0028428785,,-0.0030580426,0.0036811822,0.0034192854,0.0013928595,,,-0.0020828997,0.0024660304,0.4971485,100000,8,0.78420717,-1.5105879591192917e-5
130,,0.001081551,,,,,,-0.0019173434,,,0.50190043,100000,3,0.24437292,-1.5112921391891021e-5
87,0.002838161,0.0010523509,-0.0030413244,,0.0034639537,,0.0021546911,,,,0.49824232,100000,6,0.6973568,-1.5132539445961157e-5
181,0.0028515477,,-0.0030582803,,0.00346649,0.001377595,,-0.0019131728,,,0.5001155,100000,6,0.6973568,-1.5132539445961157e-5
590,,0.001101697,-0.0030163317,0.0037247613,,,0.002153577,,,0.0024809483,0.49825647,100000,6,0.6973568,-1.5132539445961157e-5
849,0.0028336563,,,,0.0034347498,,0.0021601182,,-0.002082246,0.0024665743,0.49707365,100000,6,0.6973568,-1.5132539445961157e-5
43,0.0028281424,0.0010760288,,0.0037074347,,0.001370536,,,,,0.49698994,100000,5,0.6213628,-1.5145868973442944e-5
350,,0.0010780343,-0.0030275083,0.0037111633,0.0034452488,,0.0021678736,,-0.002058934,,0.49882248,100000,7,0.7470261,-1.5178817873051642e-5
697,0.002821071,,,0.0036791672,0.0034095666,0.0013615633,,-0.0019102615,,0.002443473,0.49558014,100000,7,0.7470261,-1.5178817873051642e-5
795,0.0028160547,0.0010785437,,0.00368859,0.0033976894,,,,-0.0020872052,0.002462064,0.4958047,100000,7,0.7470261,-1.5178817873051642e-5
650,,0.0011045791,,0.0037208702,,,,-0.00191965,,0.0024721762,0.4987944,100000,5,0.6198727,-1.5205476002533302e-5
70,,0.0010788689,-0.0030107177,,,,0.002142457,,,,0.50137275,100000,4,0.49271926,-1.52188046673718e-5
410,,0.0010805618,,0.0037075188,0.0034260773,,,-0.0019288699,-0.0020573072,,0.49937096,100000,6,0.6937805,-1.531136232157948e-5
147,0.0028250017,0.001055408,,,0.0034449324,,,-0.001925007,,,0.49878082,100000,5,0.61689246,-1.532469006071402e-5
97,0.0028462855,,,,,0.0013888666,0.0021435341,,,,0.49828944,100000,4,0.48675886,-1.5397623966295626e-5
164,,,-0.0030277215,,,0.0013556308,,-0.0019057128,,,0.50326836,100000,4,0.48675886,-1.5397623966295626e-5
279,0.0028465807,0.0010427415,-0.0030442846,,0.0034546002,,,,-0.002060126,,0.5003579,100000,6,0.6913963,-1.543057757191768e-5
570,,0.0010811526,,0.0036913578,0.0034061,0.001359996,,,,0.002453767,0.49549127,100000,6,0.6913963,-1.543057757191768e-5
684,,,-0.0030337058,0.0037139577,,0.0013485174,,-0.0019080383,,0.0024761127,0.50018156,100000,6,0.6913963,-1.543057757191768e-5
782,,0.0010922462,-0.0030192998,0.0037229445,,,,,-0.002075652,0.002494569,0.5003729,100000,6,0.6913963,-1.543057757191768e-5
262,,0.001069402,-0.0030136416,,,,,,-0.0020515008,,0.5034774,100000,4,0.48477212,-1.5457230399418265e-5
704,,,,,,,0.0021463002,-0.0019141573,,0.0024769187,0.5001267,100000,4,0.48477212,-1.5457230399418265e-5
607,0.0028208178,0.0010752191,-0.0030463631,0.0036913245,0.0034226854,,0.0021657038,,,0.0024535775,0.49518555,100000,8,0.779098,-1.546353249559651e-5
